id,position,company,location,job_type,job_status,create_date,user_id
1,VP Product Management,Gevee,Philippines,internship,interview,10/17/2023,1
2,Quality Control Specialist,Fivebridge,China,part-time,interview,11/18/2023,1
3,Clinical Specialist,Oyoba,China,part-time,declined,12/4/2023,1
4,Civil Engineer,Youspan,Indonesia,full-time,declined,9/2/2023,1
5,Senior Quality Engineer,Einti,Yemen,part-time,pending,7/1/2023,1
6,Information Systems Manager,Twitterlist,Czech Republic,part-time,interview,8/9/2023,1
7,Cost Accountant,Skipfire,Japan,part-time,pending,1/21/2024,1
8,Business Systems Development Analyst,Skaboo,Philippines,part-time,interview,1/13/2024,1
9,Assistant Professor,Talane,Indonesia,part-time,pending,10/10/2023,1
10,Mechanical Systems Engineer,Cogidoo,Brazil,internship,pending,8/24/2023,1
11,Nurse,Brainsphere,Indonesia,part-time,declined,9/14/2023,1
12,Project Manager,Photobean,United States,part-time,pending,8/4/2023,1
13,Web Designer I,Devshare,Bulgaria,internship,pending,1/22/2024,1
14,Developer I,Livepath,China,internship,pending,7/3/2023,1
15,Librarian,Twitterwire,Indonesia,part-time,declined,2/14/2024,1
16,VP Product Management,Quimm,Armenia,full-time,declined,12/29/2023,1
17,Design Engineer,Skiptube,Mauritius,internship,interview,7/22/2023,1
18,Web Developer IV,Wikivu,Canada,part-time,interview,3/1/2024,1
19,Senior Developer,Cogidoo,Ukraine,part-time,interview,1/19/2024,1
20,Sales Representative,Ntag,Philippines,part-time,pending,12/13/2023,1
21,Nuclear Power Engineer,Flashpoint,Indonesia,full-time,pending,11/24/2023,1
22,Office Assistant II,Realfire,Slovenia,full-time,interview,2/13/2024,1
23,Chemical Engineer,Jetpulse,Tanzania,full-time,pending,7/5/2023,1
24,Assistant Manager,Skiptube,Philippines,part-time,declined,8/14/2023,1
25,Graphic Designer,Yodo,Bulgaria,internship,interview,12/12/2023,1
26,Assistant Media Planner,Flashset,China,part-time,pending,9/9/2023,1
